configuration,question_id,category,question,gold_sources,mrr,first_relevant_rank,top5_sources,top5_chunk_ids,recall@1,recall@3,recall@5
350w_50o,Q11,direct_answerable,What are the main CPF accounts described in the CPF overview?,CPF01,0.038461538461538464,26,"CPF09, CPF09, CPF02, CPF02, CPF02","CPF09:003:000, CPF09:006:000, CPF02:002:000, CPF02:005:000, CPF02:000:001",0.0,0.0,0.0
350w_50o,Q12,direct_answerable,What are some of the main purposes of CPF described in CPF 101?,CPF02,0.25,4,"CPF03, CPF08, CPF08, CPF02, CPF02","CPF03:000:000, CPF08:002:000, CPF08:005:000, CPF02:002:000, CPF02:005:000",0.0,0.0,1.0
350w_50o,Q13,direct_answerable,Which CPF account can generally be used for a home purchase?,CPF03,1.0,1,"CPF03, CPF02, HDB09, CPF03, HDB08","CPF03:000:000, CPF02:000:000, HDB09:001:000, CPF03:000:001, HDB08:005:000",1.0,1.0,1.0
350w_50o,Q14,direct_answerable,What generally has to be refunded to CPF when a property is sold or transferred?,CPF06,1.0,1,"CPF06, CPF06, CPF04, CPF06, HDB08","CPF06:000:001, CPF06:000:002, CPF04:000:001, CPF06:000:000, HDB08:005:000",1.0,1.0,1.0
350w_50o,Q15,direct_answerable,What is CPF LIFE intended to provide?,CPF08,0.2,5,"CPF02, CPF02, CPF07, CPF07, CPF08","CPF02:002:000, CPF02:005:000, CPF07:003:000, CPF07:006:000, CPF08:002:000",0.0,0.0,1.0
350w_50o,Q16,multi_hop,"A first-timer single wants to buy a resale flat. What HDB grant routes should they check, and what prerequisite applies before EHG (Singles) for a resale purchase?","HDB03, HDB04",1.0,1,"HDB04, HDB05, HDB04, HDB04, HDB03","HDB04:000:000, HDB05:000:000, HDB04:002:003, HDB04:002:000, HDB03:000:000",0.5,0.5,1.0
350w_50o,Q17,multi_hop,A family buying a resale flat wants both the main resale grant and EHG. How do these grant routes relate?,"HDB05, HDB06",1.0,1,"HDB05, HDB04, HDB07, HDB01, HDB06","HDB05:000:000, HDB04:000:000, HDB07:000:000, HDB01:028:008, HDB06:005:000",0.5,0.5,1.0
350w_50o,Q18,multi_hop,A second-timer family wants to move from an eligible smaller flat to another flat. Which grant should they investigate and what housing context matters?,"HDB01, HDB07",0.5,2,"HDB06, HDB07, HDB05, HDB01, HDB01","HDB06:005:000, HDB07:000:000, HDB05:000:000, HDB01:005:001, HDB01:013:001",0.0,0.5,1.0
350w_50o,Q19,multi_hop,"How do the HFE letter, housing grants and HDB loan eligibility fit together before a buyer commits to a flat?","HDB03, HDB08, HDB09",0.1,10,"HDB01, HDB07, HDB02, HDB06, HDB05","HDB01:000:000, HDB07:000:000, HDB02:000:000, HDB06:000:000, HDB05:000:000",0.0,0.0,0.0
350w_50o,Q20,multi_hop,A resale buyer has agreed on a price. What should happen from the OTP stage until the resale application is submitted?,"HDB11, HDB12",1.0,1,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:000:000, HDB12:010:000, HDB12:004:000, HDB12:009:000, HDB12:003:000",0.5,0.5,0.5
350w_50o,Q21,multi_hop,How do CPF OA usage for housing and the later CPF refund obligation connect across the lifecycle of owning and selling a property?,"CPF03, CPF06",1.0,1,"CPF06, HDB08, HDB08, CPF04, CPF06","CPF06:000:002, HDB08:004:001, HDB08:004:000, CPF04:000:000, CPF06:000:001",0.5,0.5,0.5
350w_50o,Q22,multi_hop,Why can using more CPF for housing affect retirement resources later?,"CPF01, CPF05, CPF07",1.0,1,"CPF07, CPF07, CPF08, CPF08, CPF03","CPF07:001:000, CPF07:004:000, CPF08:001:000, CPF08:004:000, CPF03:000:001",0.3333333333333333,0.3333333333333333,0.3333333333333333
350w_50o,Q23,multi_hop,How does CPF LIFE relate to the broader CPF retirement-income framework?,"CPF07, CPF08",1.0,1,"CPF08, CPF08, CPF08, CPF08, CPF07","CPF08:001:000, CPF08:004:000, CPF08:002:000, CPF08:005:000, CPF07:000:000",0.5,0.5,1.0
350w_50o,Q24,multi_hop,How do base CPF interest rates and extra interest work together for an older member?,"CPF09, CPF10",1.0,1,"CPF10, CPF09, CPF05, HDB08, CPF09","CPF10:000:000, CPF09:000:000, CPF05:000:001, HDB08:008:000, CPF09:001:000",0.5,1.0,1.0
350w_50o,Q25,multi_hop,How do HDB's budgeting guidance and CPF's housing-usage guidance complement each other when planning a flat purchase?,"CPF03, CPF05, HDB09",0.3333333333333333,3,"CPF07, CPF07, HDB09, HDB02, CPF05","CPF07:001:000, CPF07:004:000, HDB09:001:000, HDB02:010:002, CPF05:000:000",0.0,0.3333333333333333,0.6666666666666666
350w_50o,Q26,conditional,"If a first-timer single is buying a resale flat, under what condition should EHG (Singles) be considered after the Singles Grant?","HDB03, HDB04",1.0,1,"HDB04, HDB03, HDB03, HDB04, HDB06","HDB04:000:000, HDB03:000:000, HDB03:002:003, HDB04:002:003, HDB06:002:000",0.5,1.0,1.0
350w_50o,Q27,conditional,"If a family is buying a resale flat, what must be established before EHG for Families is considered?","HDB05, HDB06",1.0,1,"HDB05, HDB04, HDB02, HDB01, HDB01","HDB05:000:000, HDB04:000:000, HDB02:005:000, HDB01:005:000, HDB01:013:000",0.5,0.5,0.5
350w_50o,Q28,conditional,"If applicants are second-timers, when should the Step-Up CPF Housing Grant be investigated?",HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:005:000, HDB07:000:000, HDB07:002:003, HDB01:019:002, HDB01:005:002",1.0,1.0,1.0
350w_50o,Q29,conditional,"If a single applicant wants an HDB loan, what household income ceiling applies according to the current HDB loan page?",HDB08,0.0625,16,"HDB01, HDB01, HDB01, HDB01, CPF03","HDB01:021:007, HDB01:016:007, HDB01:002:007, HDB01:010:007, CPF03:003:000",0.0,0.0,0.0
350w_50o,Q30,conditional,"If a buyer is purchasing a 2-room Flexi flat on a short lease, can an HDB housing loan be assumed to be available?",HDB08,1.0,1,"HDB08, HDB06, HDB08, HDB01, HDB01","HDB08:000:004, HDB06:002:005, HDB08:000:000, HDB01:016:002, HDB01:002:002",1.0,1.0,1.0
350w_50o,Q31,conditional,"If a buyer has been granted an OTP but changes their mind, what happens if they simply do not exercise it?",HDB12,1.0,1,"HDB12, HDB12, HDB04, HDB05, HDB05","HDB12:001:000, HDB12:004:000, HDB04:010:000, HDB05:006:000, HDB05:007:000",1.0,1.0,1.0
350w_50o,Q32,conditional,"If a member uses CPF OA savings for a property, what should they expect to happen to those amounts when the property is later sold?","CPF03, CPF06",1.0,1,"CPF06, CPF03, HDB08, CPF04, CPF02","CPF06:000:001, CPF03:000:001, HDB08:007:000, CPF04:000:001, CPF02:000:001",0.5,1.0,1.0
350w_50o,Q33,conditional,"If sale proceeds are insufficient to cover principal plus accrued interest, should the system automatically tell the member to top up the shortfall in cash?",CPF06,1.0,1,"CPF06, CPF06, CPF06, HDB08, HDB04","CPF06:000:000, CPF06:000:001, CPF06:000:002, HDB08:005:000, HDB04:002:004",1.0,1.0,1.0
350w_50o,Q34,conditional,"If a member defers CPF LIFE payouts, what effect can that have on monthly payouts?",CPF08,0.2,5,"CPF02, CPF02, CPF07, CPF07, CPF08","CPF02:002:000, CPF02:005:000, CPF07:002:000, CPF07:005:000, CPF08:000:003",0.0,0.0,1.0
350w_50o,Q35,conditional,"If a user asks for the CPF OA interest rate for a period outside the effective dates in the current source, should the system reuse the current rate?",CPF10,0.1111111111111111,9,"HDB08, CPF09, HDB08, CPF05, HDB08","HDB08:004:001, CPF09:000:000, HDB08:004:000, CPF05:000:000, HDB08:006:001",0.0,0.0,0.0
350w_50o,Q36,partially_answerable,I am 35 and single. Exactly how much housing grant will I receive for the flat I am considering?,"HDB02, HDB03, HDB04",1.0,1,"HDB04, HDB02, HDB03, HDB07, HDB04","HDB04:002:003, HDB02:006:000, HDB03:002:003, HDB07:005:000, HDB04:005:000",0.3333333333333333,1.0,1.0
350w_50o,Q37,partially_answerable,I earn below the HDB loan income ceiling. Does that guarantee that HDB will approve my loan?,HDB08,0.07692307692307693,13,"HDB01, HDB01, HDB01, CPF03, CPF03","HDB01:021:007, HDB01:016:007, HDB01:002:007, CPF03:003:000, CPF03:006:000",0.0,0.0,0.0
350w_50o,Q38,partially_answerable,I have enough CPF OA savings for the downpayment. Does that mean I can definitely afford the flat?,"CPF03, CPF05, HDB09",1.0,1,"HDB09, CPF03, HDB08, CPF04, CPF03","HDB09:001:000, CPF03:000:001, HDB08:007:000, CPF04:000:000, CPF03:000:000",0.3333333333333333,0.6666666666666666,0.6666666666666666
350w_50o,Q39,partially_answerable,I used CPF for my home. Tell me the exact dollar amount I must refund if I sell today.,CPF06,0.5,2,"CPF04, CPF06, CPF03, CPF04, CPF06","CPF04:000:001, CPF06:000:000, CPF03:000:001, CPF04:000:000, CPF06:000:002",0.0,1.0,1.0
350w_50o,Q40,partially_answerable,I am 55. Tell me exactly how much my CPF LIFE monthly payout will be.,CPF08,0.5,2,"CPF07, CPF08, CPF08, CPF08, CPF08","CPF07:000:000, CPF08:000:002, CPF08:002:000, CPF08:005:000, CPF08:000:003",0.0,1.0,1.0
350w_50o,Q41,partially_answerable,I qualify for a Singles Grant. Does that automatically mean I qualify for EHG (Singles)?,"HDB03, HDB04",1.0,1,"HDB03, HDB04, HDB05, HDB04, HDB05","HDB03:000:000, HDB04:000:000, HDB05:000:000, HDB04:011:000, HDB05:008:000",0.5,1.0,1.0
350w_50o,Q42,partially_answerable,I am a second-timer. Does the Step-Up CPF Housing Grant definitely apply to me?,HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:000:000, HDB07:005:000, HDB07:002:003, HDB01:019:002, HDB01:005:002",1.0,1.0,1.0
350w_50o,Q43,partially_answerable,I want to buy a resale flat. Can you calculate my exact cash and CPF upfront payments from these pages alone?,"CPF03, HDB09",1.0,1,"HDB09, HDB09, HDB11, CPF03, HDB07","HDB09:000:001, HDB09:002:000, HDB11:000:000, CPF03:000:001, HDB07:000:000",0.5,0.5,1.0
350w_50o,Q44,partially_answerable,I am a single buyer and my income is within the HDB loan ceiling. Tell me the exact loan amount HDB will give me.,HDB08,0.3333333333333333,3,"CPF03, CPF03, HDB08, HDB08, HDB01","CPF03:003:000, CPF03:006:000, HDB08:006:003, HDB08:005:000, HDB01:021:007",0.0,1.0,1.0
350w_50o,Q45,partially_answerable,I am eligible to buy a flat. Does that automatically mean I will receive every CPF housing grant listed on HDB's site?,"HDB01, HDB02, HDB03, HDB05, HDB06",0.5,2,"HDB07, HDB02, HDB01, HDB01, HDB01","HDB07:005:000, HDB02:007:005, HDB01:013:002, HDB01:019:002, HDB01:005:002",0.0,0.4,0.4
350w_50o,Q53,adversarial_misleading,"I'm 30 and single, so I can buy any HDB resale flat on my own as long as I can afford it, right?","HDB02, HDB08",0.5,2,"CPF04, HDB02, HDB12, HDB01, CPF03","CPF04:000:000, HDB02:006:000, HDB12:007:000, HDB01:020:000, CPF03:000:000",0.0,0.5,0.5
350w_50o,Q54,adversarial_misleading,"Since CPF can be used for housing, I can use my Special Account to pay my property downpayment, correct?",CPF03,0.2,5,"CPF09, CPF09, HDB09, CPF02, CPF03","CPF09:002:000, CPF09:005:000, HDB09:001:000, CPF02:000:000, CPF03:000:000",0.0,0.0,1.0
350w_50o,Q55,adversarial_misleading,"When I sell my property, I only need to refund the original CPF principal and never any accrued interest, right?",CPF06,1.0,1,"CPF06, CPF04, CPF03, CPF06, CPF06","CPF06:000:000, CPF04:000:001, CPF03:000:001, CPF06:000:001, CPF06:000:002",1.0,1.0,1.0
350w_50o,Q56,adversarial_misleading,"If my resale OTP expires, HDB automatically extends it for another 21 days, right?",HDB12,1.0,1,"HDB12, HDB12, HDB01, HDB12, HDB01","HDB12:004:000, HDB12:003:000, HDB01:028:008, HDB12:010:000, HDB01:028:001",1.0,1.0,1.0
350w_50o,Q57,temporal,What CPF OA interest rate applies from 1 July 2026 to 30 September 2026?,CPF10,1.0,1,"CPF10, CPF09, HDB08, HDB08, CPF05","CPF10:000:000, CPF09:000:000, HDB08:004:001, HDB08:006:001, CPF05:000:000",1.0,1.0,1.0
350w_50o,Q59,temporal,For what period is the CPF Ordinary Account interest rate stated on the current source applicable?,CPF10,0.25,4,"HDB08, HDB08, HDB08, CPF10, HDB08","HDB08:006:001, HDB08:006:003, HDB08:006:000, CPF10:000:000, HDB08:004:001",0.0,0.0,1.0
250w_40o,Q1,direct_answerable,Who can buy an HDB flat under the couples and families routes described by HDB?,HDB01,1.0,1,"HDB01, HDB07, HDB06, HDB06, HDB02","HDB01:025:000, HDB07:002:000, HDB06:002:000, HDB06:002:006, HDB02:000:000",1.0,1.0,1.0
250w_40o,Q2,direct_answerable,Can a single person buy an HDB flat alone under HDB's singles route?,HDB02,0.1,10,"HDB01, HDB04, HDB06, HDB06, HDB03","HDB01:013:003, HDB04:000:000, HDB06:002:001, HDB06:000:000, HDB03:000:000",0.0,0.0,0.0
250w_40o,Q3,direct_answerable,What CPF Housing Grant may a first-timer single receive when buying a resale flat?,HDB03,0.3333333333333333,3,"HDB04, HDB04, HDB03, HDB04, HDB05","HDB04:002:005, HDB04:000:000, HDB03:000:000, HDB04:002:000, HDB05:000:000",0.0,1.0,1.0
250w_40o,Q4,direct_answerable,What CPF housing grants are described for families buying resale flats?,HDB06,0.07692307692307693,13,"HDB01, HDB01, HDB01, HDB01, HDB01","HDB01:010:009, HDB01:013:003, HDB01:002:009, HDB01:016:009, HDB01:031:003",0.0,0.0,0.0
250w_40o,Q5,direct_answerable,Who is the Step-Up CPF Housing Grant intended for?,HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB01, HDB07","HDB07:005:000, HDB07:002:004, HDB07:002:005, HDB01:010:009, HDB07:000:000",1.0,1.0,1.0
250w_40o,Q6,direct_answerable,"What household income ceilings apply to an HDB housing loan for families, extended families and singles?",HDB08,1.0,1,"HDB08, HDB08, HDB03, HDB06, HDB01","HDB08:000:001, HDB08:000:006, HDB03:002:000, HDB06:002:007, HDB01:013:003",1.0,1.0,1.0
250w_40o,Q7,direct_answerable,What kinds of upfront payments should buyers consider when budgeting for a flat?,HDB09,0.5,2,"CPF03, HDB09, CPF02, CPF02, CPF02","CPF03:000:001, HDB09:000:001, CPF02:002:000, CPF02:005:000, CPF02:000:002",0.0,1.0,1.0
250w_40o,Q8,direct_answerable,Where does HDB direct buyers to look for current and upcoming new-flat sales exercises?,HDB10,1.0,1,"HDB10, HDB12, HDB10, HDB01, HDB02","HDB10:000:000, HDB12:000:000, HDB10:000:001, HDB01:021:009, HDB02:007:008",1.0,1.0,1.0
250w_40o,Q9,direct_answerable,What are the main stages in HDB's resale-flat buying process?,HDB11,0.25,4,"HDB12, HDB09, HDB12, HDB11, CPF04","HDB12:010:001, HDB09:000:002, HDB12:010:000, HDB11:000:000, CPF04:003:000",0.0,0.0,1.0
250w_40o,Q10,direct_answerable,How long is the Option to Purchase valid after it is granted for a resale flat?,HDB12,1.0,1,"HDB12, HDB12, HDB04, CPF07, HDB10","HDB12:004:000, HDB12:002:000, HDB04:007:000, CPF07:000:000, HDB10:000:003",1.0,1.0,1.0
250w_40o,Q11,direct_answerable,What are the main CPF accounts described in the CPF overview?,CPF01,0.08333333333333333,12,"CPF09, CPF09, CPF02, CPF02, CPF02","CPF09:003:000, CPF09:006:000, CPF02:000:001, CPF02:002:000, CPF02:005:000",0.0,0.0,0.0
250w_40o,Q12,direct_answerable,What are some of the main purposes of CPF described in CPF 101?,CPF02,0.25,4,"CPF03, CPF08, CPF08, CPF02, CPF02","CPF03:000:001, CPF08:002:000, CPF08:005:000, CPF02:002:000, CPF02:005:000",0.0,0.0,1.0
250w_40o,Q13,direct_answerable,Which CPF account can generally be used for a home purchase?,CPF03,0.3333333333333333,3,"CPF02, HDB09, CPF03, HDB08, CPF03","CPF02:000:000, HDB09:001:000, CPF03:000:000, HDB08:005:000, CPF03:000:001",0.0,1.0,1.0
250w_40o,Q14,direct_answerable,What generally has to be refunded to CPF when a property is sold or transferred?,CPF06,1.0,1,"CPF06, CPF04, CPF06, CPF06, CPF02","CPF06:000:002, CPF04:000:001, CPF06:000:003, CPF06:000:000, CPF02:002:000",1.0,1.0,1.0
250w_40o,Q15,direct_answerable,What is CPF LIFE intended to provide?,CPF08,0.2,5,"CPF02, CPF02, CPF07, CPF07, CPF08","CPF02:002:000, CPF02:005:000, CPF07:003:000, CPF07:006:000, CPF08:000:000",0.0,0.0,1.0
250w_40o,Q16,multi_hop,"A first-timer single wants to buy a resale flat. What HDB grant routes should they check, and what prerequisite applies before EHG (Singles) for a resale purchase?","HDB03, HDB04",1.0,1,"HDB04, HDB04, HDB05, HDB04, HDB03","HDB04:000:000, HDB04:002:005, HDB05:000:000, HDB04:002:000, HDB03:000:000",0.5,0.5,1.0
250w_40o,Q17,multi_hop,A family buying a resale flat wants both the main resale grant and EHG. How do these grant routes relate?,"HDB05, HDB06",1.0,1,"HDB05, HDB04, HDB07, HDB06, HDB01","HDB05:000:000, HDB04:000:000, HDB07:000:000, HDB06:005:000, HDB01:004:000",0.5,0.5,1.0
250w_40o,Q18,multi_hop,A second-timer family wants to move from an eligible smaller flat to another flat. Which grant should they investigate and what housing context matters?,"HDB01, HDB07",0.5,2,"HDB06, HDB01, HDB02, HDB07, HDB01","HDB06:005:000, HDB01:016:007, HDB02:010:002, HDB07:000:000, HDB01:031:001",0.0,0.5,1.0
250w_40o,Q19,multi_hop,"How do the HFE letter, housing grants and HDB loan eligibility fit together before a buyer commits to a flat?","HDB03, HDB08, HDB09",0.14285714285714285,7,"HDB01, HDB07, HDB02, HDB06, HDB05","HDB01:000:000, HDB07:000:000, HDB02:000:000, HDB06:000:000, HDB05:000:000",0.0,0.0,0.0
250w_40o,Q20,multi_hop,A resale buyer has agreed on a price. What should happen from the OTP stage until the resale application is submitted?,"HDB11, HDB12",1.0,1,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:010:000, HDB12:000:000, HDB12:004:000, HDB12:009:000, HDB12:003:000",0.5,0.5,0.5
250w_40o,Q21,multi_hop,How do CPF OA usage for housing and the later CPF refund obligation connect across the lifecycle of owning and selling a property?,"CPF03, CPF06",1.0,1,"CPF06, CPF04, HDB08, CPF06, HDB08","CPF06:000:003, CPF04:000:001, HDB08:004:002, CPF06:000:002, HDB08:004:000",0.5,0.5,0.5
250w_40o,Q22,multi_hop,Why can using more CPF for housing affect retirement resources later?,"CPF01, CPF05, CPF07",1.0,1,"CPF07, CPF07, CPF08, CPF08, CPF03","CPF07:001:000, CPF07:004:000, CPF08:001:000, CPF08:004:000, CPF03:000:002",0.3333333333333333,0.3333333333333333,0.3333333333333333
250w_40o,Q23,multi_hop,How does CPF LIFE relate to the broader CPF retirement-income framework?,"CPF07, CPF08",1.0,1,"CPF08, CPF08, CPF07, CPF08, CPF08","CPF08:001:000, CPF08:004:000, CPF07:000:000, CPF08:002:000, CPF08:005:000",0.5,1.0,1.0
250w_40o,Q24,multi_hop,How do base CPF interest rates and extra interest work together for an older member?,"CPF09, CPF10",1.0,1,"CPF10, CPF09, CPF05, CPF02, HDB08","CPF10:000:000, CPF09:000:000, CPF05:000:001, CPF02:000:001, HDB08:008:000",0.5,1.0,1.0
250w_40o,Q25,multi_hop,How do HDB's budgeting guidance and CPF's housing-usage guidance complement each other when planning a flat purchase?,"CPF03, CPF05, HDB09",0.3333333333333333,3,"CPF07, CPF07, HDB09, CPF05, HDB12","CPF07:001:000, CPF07:004:000, HDB09:001:000, CPF05:000:001, HDB12:010:000",0.0,0.3333333333333333,0.6666666666666666
250w_40o,Q26,conditional,"If a first-timer single is buying a resale flat, under what condition should EHG (Singles) be considered after the Singles Grant?","HDB03, HDB04",1.0,1,"HDB04, HDB04, HDB06, HDB03, HDB03","HDB04:000:000, HDB04:002:005, HDB06:002:006, HDB03:005:001, HDB03:000:000",0.5,0.5,1.0
250w_40o,Q27,conditional,"If a family is buying a resale flat, what must be established before EHG for Families is considered?","HDB05, HDB06",1.0,1,"HDB05, HDB01, HDB01, HDB01, HDB01","HDB05:000:000, HDB01:005:001, HDB01:013:001, HDB01:019:001, HDB01:024:001",0.5,0.5,0.5
250w_40o,Q28,conditional,"If applicants are second-timers, when should the Step-Up CPF Housing Grant be investigated?",HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB07, HDB01","HDB07:005:000, HDB07:000:000, HDB07:002:004, HDB07:002:005, HDB01:019:004",1.0,1.0,1.0
250w_40o,Q29,conditional,"If a single applicant wants an HDB loan, what household income ceiling applies according to the current HDB loan page?",HDB08,0.05,20,"HDB01, HDB01, HDB01, HDB01, CPF03","HDB01:021:010, HDB01:016:010, HDB01:002:010, HDB01:010:010, CPF03:003:000",0.0,0.0,0.0
250w_40o,Q30,conditional,"If a buyer is purchasing a 2-room Flexi flat on a short lease, can an HDB housing loan be assumed to be available?",HDB08,1.0,1,"HDB08, HDB08, HDB06, HDB08, HDB01","HDB08:000:006, HDB08:000:000, HDB06:002:007, HDB08:000:001, HDB01:002:006",1.0,1.0,1.0
250w_40o,Q31,conditional,"If a buyer has been granted an OTP but changes their mind, what happens if they simply do not exercise it?",HDB12,1.0,1,"HDB12, HDB12, HDB05, HDB04, HDB12","HDB12:004:000, HDB12:001:000, HDB05:006:000, HDB04:010:000, HDB12:010:000",1.0,1.0,1.0
250w_40o,Q32,conditional,"If a member uses CPF OA savings for a property, what should they expect to happen to those amounts when the property is later sold?","CPF03, CPF06",1.0,1,"CPF03, CPF06, CPF03, CPF02, CPF04","CPF03:000:002, CPF06:000:002, CPF03:000:001, CPF02:000:002, CPF04:000:001",0.5,1.0,1.0
250w_40o,Q33,conditional,"If sale proceeds are insufficient to cover principal plus accrued interest, should the system automatically tell the member to top up the shortfall in cash?",CPF06,1.0,1,"CPF06, CPF06, HDB07, HDB08, CPF06","CPF06:000:002, CPF06:000:000, HDB07:002:007, HDB08:009:001, CPF06:000:001",1.0,1.0,1.0
250w_40o,Q34,conditional,"If a member defers CPF LIFE payouts, what effect can that have on monthly payouts?",CPF08,0.2,5,"CPF02, CPF02, CPF07, CPF07, CPF08","CPF02:002:000, CPF02:005:000, CPF07:002:000, CPF07:005:000, CPF08:000:004",0.0,0.0,1.0
250w_40o,Q35,conditional,"If a user asks for the CPF OA interest rate for a period outside the effective dates in the current source, should the system reuse the current rate?",CPF10,0.07692307692307693,13,"HDB08, HDB08, CPF09, HDB08, HDB08","HDB08:004:002, HDB08:004:001, CPF09:000:000, HDB08:006:001, HDB08:006:002",0.0,0.0,0.0
250w_40o,Q36,partially_answerable,I am 35 and single. Exactly how much housing grant will I receive for the flat I am considering?,"HDB02, HDB03, HDB04",1.0,1,"HDB04, HDB04, HDB02, HDB05, HDB03","HDB04:002:005, HDB04:005:001, HDB02:006:000, HDB05:005:001, HDB03:002:004",0.3333333333333333,0.6666666666666666,1.0
250w_40o,Q37,partially_answerable,I earn below the HDB loan income ceiling. Does that guarantee that HDB will approve my loan?,HDB08,0.037037037037037035,27,"HDB01, HDB01, HDB01, HDB01, HDB01","HDB01:021:010, HDB01:016:010, HDB01:002:010, HDB01:016:001, HDB01:002:001",0.0,0.0,0.0
250w_40o,Q38,partially_answerable,I have enough CPF OA savings for the downpayment. Does that mean I can definitely afford the flat?,"CPF03, CPF05, HDB09",1.0,1,"HDB09, CPF02, CPF03, HDB08, CPF03","HDB09:001:000, CPF02:000:002, CPF03:000:001, HDB08:007:000, CPF03:000:002",0.3333333333333333,0.6666666666666666,0.6666666666666666
250w_40o,Q39,partially_answerable,I used CPF for my home. Tell me the exact dollar amount I must refund if I sell today.,CPF06,1.0,1,"CPF06, CPF03, CPF04, CPF06, HDB12","CPF06:000:000, CPF03:000:002, CPF04:000:001, CPF06:000:003, HDB12:004:001",1.0,1.0,1.0
250w_40o,Q40,partially_answerable,I am 55. Tell me exactly how much my CPF LIFE monthly payout will be.,CPF08,0.5,2,"CPF07, CPF08, CPF08, CPF08, CPF08","CPF07:000:000, CPF08:000:005, CPF08:000:003, CPF08:000:004, CPF08:002:000",0.0,1.0,1.0
250w_40o,Q41,partially_answerable,I qualify for a Singles Grant. Does that automatically mean I qualify for EHG (Singles)?,"HDB03, HDB04",1.0,1,"HDB03, HDB04, HDB04, HDB05, HDB05","HDB03:000:000, HDB04:000:000, HDB04:007:001, HDB05:000:000, HDB05:008:000",0.5,1.0,1.0
250w_40o,Q42,partially_answerable,I am a second-timer. Does the Step-Up CPF Housing Grant definitely apply to me?,HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB07, HDB01","HDB07:000:000, HDB07:005:000, HDB07:002:004, HDB07:002:005, HDB01:005:003",1.0,1.0,1.0
250w_40o,Q43,partially_answerable,I want to buy a resale flat. Can you calculate my exact cash and CPF upfront payments from these pages alone?,"CPF03, HDB09",1.0,1,"HDB09, HDB09, HDB11, CPF03, HDB07","HDB09:000:001, HDB09:002:000, HDB11:000:000, CPF03:000:001, HDB07:000:000",0.5,0.5,1.0
