method,question_id,category,question,gold_sources,mrr,first_relevant_rank,candidate_recall@20,unique_sources@5,duplicate_fraction@5,max_source_share@5,top5_sources,top5_chunk_ids,top20_sources,recall@1,recall@3,recall@5,missing_gold_at_5,missing_gold_available_at_20,diversification_candidate,error_type
TF-IDF,Q11,direct_answerable,What are the main CPF accounts described in the CPF overview?,CPF01,0.038461538461538464,26,0.0,2,0.6,0.6,"CPF09, CPF09, CPF02, CPF02, CPF02","CPF09:003:000, CPF09:006:000, CPF02:002:000, CPF02:005:000, CPF02:000:001","CPF09, CPF09, CPF02, CPF02, CPF02, CPF09, CPF06, CPF08, CPF08, HDB07, CPF03, HDB06, CPF08, HDB08, HDB05, CPF02, CPF06, HDB10, HDB02, HDB02",0.0,0.0,0.0,CPF01,,False,candidate_retrieval_miss
TF-IDF,Q12,direct_answerable,What are some of the main purposes of CPF described in CPF 101?,CPF02,0.25,4,1.0,3,0.4,0.4,"CPF03, CPF08, CPF08, CPF02, CPF02","CPF03:000:000, CPF08:002:000, CPF08:005:000, CPF02:002:000, CPF02:005:000","CPF03, CPF08, CPF08, CPF02, CPF02, CPF02, HDB09, HDB08, CPF07, HDB10, HDB07, CPF08, HDB06, HDB08, HDB01, HDB05, CPF05, HDB04, CPF02, HDB03",0.0,0.0,1.0,,,False,success
TF-IDF,Q13,direct_answerable,Which CPF account can generally be used for a home purchase?,CPF03,1.0,1,1.0,4,0.19999999999999996,0.4,"CPF03, CPF02, HDB09, CPF03, HDB08","CPF03:000:000, CPF02:000:000, HDB09:001:000, CPF03:000:001, HDB08:005:000","CPF03, CPF02, HDB09, CPF03, HDB08, HDB09, CPF06, CPF02, HDB08, CPF06, CPF04, CPF09, CPF09, HDB07, CPF03, CPF03, HDB05, CPF08, CPF10, CPF05",1.0,1.0,1.0,,,False,success
TF-IDF,Q14,direct_answerable,What generally has to be refunded to CPF when a property is sold or transferred?,CPF06,1.0,1,1.0,3,0.4,0.6,"CPF06, CPF06, CPF04, CPF06, HDB08","CPF06:000:001, CPF06:000:002, CPF04:000:001, CPF06:000:000, HDB08:005:000","CPF06, CPF06, CPF04, CPF06, HDB08, CPF02, CPF02, HDB12, CPF01, HDB08, HDB03, HDB04, HDB05, HDB06, HDB08, CPF04, HDB04, CPF08, HDB06, CPF08",1.0,1.0,1.0,,,False,success
TF-IDF,Q15,direct_answerable,What is CPF LIFE intended to provide?,CPF08,0.2,5,1.0,3,0.4,0.4,"CPF02, CPF02, CPF07, CPF07, CPF08","CPF02:002:000, CPF02:005:000, CPF07:003:000, CPF07:006:000, CPF08:002:000","CPF02, CPF02, CPF07, CPF07, CPF08, CPF08, CPF08, CPF08, CPF08, CPF08, CPF02, CPF01, CPF10, HDB09, CPF09, CPF06, CPF07, CPF02, CPF02, CPF07",0.0,0.0,1.0,,,False,success
TF-IDF,Q16,multi_hop,"A first-timer single wants to buy a resale flat. What HDB grant routes should they check, and what prerequisite applies before EHG (Singles) for a resale purchase?","HDB03, HDB04",1.0,1,1.0,3,0.4,0.6,"HDB04, HDB05, HDB04, HDB04, HDB03","HDB04:000:000, HDB05:000:000, HDB04:002:003, HDB04:002:000, HDB03:000:000","HDB04, HDB05, HDB04, HDB04, HDB03, HDB05, HDB06, HDB04, HDB05, HDB02, HDB06, HDB04, HDB04, HDB04, HDB06, HDB02, HDB03, HDB01, HDB02, HDB04",0.5,0.5,1.0,,,False,success
TF-IDF,Q17,multi_hop,A family buying a resale flat wants both the main resale grant and EHG. How do these grant routes relate?,"HDB05, HDB06",1.0,1,1.0,5,0.0,0.2,"HDB05, HDB04, HDB07, HDB01, HDB06","HDB05:000:000, HDB04:000:000, HDB07:000:000, HDB01:028:008, HDB06:005:000","HDB05, HDB04, HDB07, HDB01, HDB06, HDB06, HDB03, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB02, HDB02, HDB03, HDB01, HDB01, HDB01, HDB01",0.5,0.5,1.0,,,False,success
TF-IDF,Q18,multi_hop,A second-timer family wants to move from an eligible smaller flat to another flat. Which grant should they investigate and what housing context matters?,"HDB01, HDB07",0.5,2,1.0,4,0.19999999999999996,0.4,"HDB06, HDB07, HDB05, HDB01, HDB01","HDB06:005:000, HDB07:000:000, HDB05:000:000, HDB01:005:001, HDB01:013:001","HDB06, HDB07, HDB05, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB02, HDB02, HDB02, HDB01, HDB01, HDB01, HDB02, HDB01, HDB01, HDB02, HDB01",0.0,0.5,1.0,,,False,success
TF-IDF,Q19,multi_hop,"How do the HFE letter, housing grants and HDB loan eligibility fit together before a buyer commits to a flat?","HDB03, HDB08, HDB09",0.1,10,1.0,5,0.0,0.2,"HDB01, HDB07, HDB02, HDB06, HDB05","HDB01:000:000, HDB07:000:000, HDB02:000:000, HDB06:000:000, HDB05:000:000","HDB01, HDB07, HDB02, HDB06, HDB05, HDB02, CPF03, CPF03, HDB07, HDB03, HDB09, HDB01, HDB03, HDB04, HDB05, HDB06, HDB08, HDB04, HDB10, HDB01",0.0,0.0,0.0,"HDB03, HDB08, HDB09","HDB03, HDB08, HDB09",False,ranking_miss
TF-IDF,Q20,multi_hop,A resale buyer has agreed on a price. What should happen from the OTP stage until the resale application is submitted?,"HDB11, HDB12",1.0,1,0.5,1,0.8,1.0,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:000:000, HDB12:010:000, HDB12:004:000, HDB12:009:000, HDB12:003:000","HDB12, HDB12, HDB12, HDB12, HDB12, HDB12, HDB12, HDB12, HDB12, HDB08, HDB08, HDB08, HDB08, HDB12, HDB08, HDB08, HDB02, HDB01, CPF02, CPF02",0.5,0.5,0.5,HDB11,,False,partial_or_missing_gold
TF-IDF,Q21,multi_hop,How do CPF OA usage for housing and the later CPF refund obligation connect across the lifecycle of owning and selling a property?,"CPF03, CPF06",1.0,1,1.0,3,0.4,0.4,"CPF06, HDB08, HDB08, CPF04, CPF06","CPF06:000:002, HDB08:004:001, HDB08:004:000, CPF04:000:000, CPF06:000:001","CPF06, HDB08, HDB08, CPF04, CPF06, CPF06, HDB02, CPF05, CPF03, HDB08, HDB01, HDB02, CPF04, CPF03, HDB01, HDB01, HDB01, HDB01, HDB02, HDB02",0.5,0.5,0.5,CPF03,CPF03,True,duplicate_crowding
TF-IDF,Q22,multi_hop,Why can using more CPF for housing affect retirement resources later?,"CPF01, CPF05, CPF07",1.0,1,0.6666666666666666,3,0.4,0.4,"CPF07, CPF07, CPF08, CPF08, CPF03","CPF07:001:000, CPF07:004:000, CPF08:001:000, CPF08:004:000, CPF03:000:001","CPF07, CPF07, CPF08, CPF08, CPF03, HDB01, HDB01, CPF07, HDB02, CPF02, CPF02, CPF08, CPF08, CPF01, HDB12, CPF02, CPF02, CPF02, CPF04, HDB01",0.3333333333333333,0.3333333333333333,0.3333333333333333,"CPF01, CPF05",CPF01,True,duplicate_crowding
TF-IDF,Q23,multi_hop,How does CPF LIFE relate to the broader CPF retirement-income framework?,"CPF07, CPF08",1.0,1,1.0,2,0.6,0.8,"CPF08, CPF08, CPF08, CPF08, CPF07","CPF08:001:000, CPF08:004:000, CPF08:002:000, CPF08:005:000, CPF07:000:000","CPF08, CPF08, CPF08, CPF08, CPF07, CPF08, CPF02, CPF02, CPF07, CPF07, CPF08, CPF08, CPF01, CPF01, CPF10, CPF08, CPF09, CPF02, CPF02, CPF02",0.5,0.5,1.0,,,False,success
TF-IDF,Q24,multi_hop,How do base CPF interest rates and extra interest work together for an older member?,"CPF09, CPF10",1.0,1,1.0,4,0.19999999999999996,0.4,"CPF10, CPF09, CPF05, HDB08, CPF09","CPF10:000:000, CPF09:000:000, CPF05:000:001, HDB08:008:000, CPF09:001:000","CPF10, CPF09, CPF05, HDB08, CPF09, CPF09, CPF08, CPF04, CPF02, CPF01, HDB02, CPF06, HDB01, CPF01, CPF02, HDB08, CPF01, CPF01, HDB01, HDB09",0.5,1.0,1.0,,,False,success
TF-IDF,Q25,multi_hop,How do HDB's budgeting guidance and CPF's housing-usage guidance complement each other when planning a flat purchase?,"CPF03, CPF05, HDB09",0.3333333333333333,3,1.0,4,0.19999999999999996,0.4,"CPF07, CPF07, HDB09, HDB02, CPF05","CPF07:001:000, CPF07:004:000, HDB09:001:000, HDB02:010:002, CPF05:000:000","CPF07, CPF07, HDB09, HDB02, CPF05, HDB01, HDB12, HDB01, HDB01, HDB01, HDB02, HDB01, HDB01, HDB01, HDB01, HDB07, HDB02, HDB01, CPF03, CPF04",0.0,0.3333333333333333,0.6666666666666666,CPF03,CPF03,False,ranking_miss
TF-IDF,Q26,conditional,"If a first-timer single is buying a resale flat, under what condition should EHG (Singles) be considered after the Singles Grant?","HDB03, HDB04",1.0,1,1.0,3,0.4,0.4,"HDB04, HDB03, HDB03, HDB04, HDB06","HDB04:000:000, HDB03:000:000, HDB03:002:003, HDB04:002:003, HDB06:002:000","HDB04, HDB03, HDB03, HDB04, HDB06, HDB06, HDB04, HDB05, HDB04, HDB03, HDB03, HDB03, HDB05, HDB06, HDB04, HDB04, HDB05, HDB06, HDB04, HDB04",0.5,1.0,1.0,,,False,success
TF-IDF,Q27,conditional,"If a family is buying a resale flat, what must be established before EHG for Families is considered?","HDB05, HDB06",1.0,1,0.5,4,0.19999999999999996,0.4,"HDB05, HDB04, HDB02, HDB01, HDB01","HDB05:000:000, HDB04:000:000, HDB02:005:000, HDB01:005:000, HDB01:013:000","HDB05, HDB04, HDB02, HDB01, HDB01, HDB01, HDB01, HDB02, HDB01, HDB01, HDB07, HDB02, HDB02, HDB01, HDB01, HDB01, HDB01, HDB04, HDB08, HDB04",0.5,0.5,0.5,HDB06,,False,partial_or_missing_gold
TF-IDF,Q28,conditional,"If applicants are second-timers, when should the Step-Up CPF Housing Grant be investigated?",HDB07,1.0,1,1.0,2,0.6,0.6,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:005:000, HDB07:000:000, HDB07:002:003, HDB01:019:002, HDB01:005:002","HDB07, HDB07, HDB07, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB06, HDB02, HDB02, HDB01, HDB02, HDB02, HDB02, HDB02, HDB02, HDB06, HDB01",1.0,1.0,1.0,,,False,success
TF-IDF,Q29,conditional,"If a single applicant wants an HDB loan, what household income ceiling applies according to the current HDB loan page?",HDB08,0.0625,16,1.0,2,0.6,0.8,"HDB01, HDB01, HDB01, HDB01, CPF03","HDB01:021:007, HDB01:016:007, HDB01:002:007, HDB01:010:007, CPF03:003:000","HDB01, HDB01, HDB01, HDB01, CPF03, CPF03, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB02, HDB02, HDB08, HDB03, HDB02, HDB04, HDB06",0.0,0.0,0.0,HDB08,HDB08,True,duplicate_crowding
TF-IDF,Q30,conditional,"If a buyer is purchasing a 2-room Flexi flat on a short lease, can an HDB housing loan be assumed to be available?",HDB08,1.0,1,1.0,3,0.4,0.4,"HDB08, HDB06, HDB08, HDB01, HDB01","HDB08:000:004, HDB06:002:005, HDB08:000:000, HDB01:016:002, HDB01:002:002","HDB08, HDB06, HDB08, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB01, HDB01, HDB01, HDB01, HDB03, HDB02, HDB02, HDB06, HDB01, HDB01, HDB01",1.0,1.0,1.0,,,False,success
TF-IDF,Q31,conditional,"If a buyer has been granted an OTP but changes their mind, what happens if they simply do not exercise it?",HDB12,1.0,1,1.0,3,0.4,0.4,"HDB12, HDB12, HDB04, HDB05, HDB05","HDB12:001:000, HDB12:004:000, HDB04:010:000, HDB05:006:000, HDB05:007:000","HDB12, HDB12, HDB04, HDB05, HDB05, HDB04, HDB12, HDB12, HDB12, HDB05, HDB04, CPF06, HDB04, HDB05, CPF02, CPF06, HDB04, HDB07, HDB04, HDB12",1.0,1.0,1.0,,,False,success
TF-IDF,Q32,conditional,"If a member uses CPF OA savings for a property, what should they expect to happen to those amounts when the property is later sold?","CPF03, CPF06",1.0,1,1.0,5,0.0,0.2,"CPF06, CPF03, HDB08, CPF04, CPF02","CPF06:000:001, CPF03:000:001, HDB08:007:000, CPF04:000:001, CPF02:000:001","CPF06, CPF03, HDB08, CPF04, CPF02, CPF05, CPF03, CPF04, CPF07, CPF07, CPF01, CPF02, CPF02, HDB08, HDB08, HDB06, HDB08, HDB07, CPF02, CPF02",0.5,1.0,1.0,,,False,success
TF-IDF,Q33,conditional,"If sale proceeds are insufficient to cover principal plus accrued interest, should the system automatically tell the member to top up the shortfall in cash?",CPF06,1.0,1,1.0,3,0.4,0.6,"CPF06, CPF06, CPF06, HDB08, HDB04","CPF06:000:000, CPF06:000:001, CPF06:000:002, HDB08:005:000, HDB04:002:004","CPF06, CPF06, CPF06, HDB08, HDB04, HDB09, HDB01, HDB08, HDB07, HDB08, HDB04, CPF07, CPF02, HDB05, HDB01, CPF03, HDB01, CPF04, CPF08, CPF01",1.0,1.0,1.0,,,False,success
TF-IDF,Q34,conditional,"If a member defers CPF LIFE payouts, what effect can that have on monthly payouts?",CPF08,0.2,5,1.0,3,0.4,0.4,"CPF02, CPF02, CPF07, CPF07, CPF08","CPF02:002:000, CPF02:005:000, CPF07:002:000, CPF07:005:000, CPF08:000:003","CPF02, CPF02, CPF07, CPF07, CPF08, CPF08, CPF08, CPF08, CPF08, CPF08, CPF07, CPF07, CPF07, CPF02, CPF01, CPF02, CPF07, CPF01, CPF06, CPF03",0.0,0.0,1.0,,,False,success
TF-IDF,Q35,conditional,"If a user asks for the CPF OA interest rate for a period outside the effective dates in the current source, should the system reuse the current rate?",CPF10,0.1111111111111111,9,1.0,3,0.4,0.6,"HDB08, CPF09, HDB08, CPF05, HDB08","HDB08:004:001, CPF09:000:000, HDB08:004:000, CPF05:000:000, HDB08:006:001","HDB08, CPF09, HDB08, CPF05, HDB08, HDB08, HDB08, HDB10, CPF10, HDB08, CPF02, HDB08, CPF02, HDB10, CPF01, CPF06, HDB02, CPF02, HDB02, HDB01",0.0,0.0,0.0,CPF10,CPF10,True,duplicate_crowding
TF-IDF,Q36,partially_answerable,I am 35 and single. Exactly how much housing grant will I receive for the flat I am considering?,"HDB02, HDB03, HDB04",1.0,1,1.0,4,0.19999999999999996,0.4,"HDB04, HDB02, HDB03, HDB07, HDB04","HDB04:002:003, HDB02:006:000, HDB03:002:003, HDB07:005:000, HDB04:005:000","HDB04, HDB02, HDB03, HDB07, HDB04, HDB05, HDB03, HDB01, CPF07, HDB04, HDB03, HDB06, HDB07, HDB04, HDB09, HDB05, HDB08, HDB06, HDB08, HDB04",0.3333333333333333,1.0,1.0,,,False,success
TF-IDF,Q37,partially_answerable,I earn below the HDB loan income ceiling. Does that guarantee that HDB will approve my loan?,HDB08,0.07692307692307693,13,1.0,2,0.6,0.6,"HDB01, HDB01, HDB01, CPF03, CPF03","HDB01:021:007, HDB01:016:007, HDB01:002:007, CPF03:003:000, CPF03:006:000","HDB01, HDB01, HDB01, CPF03, CPF03, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB08, HDB01, HDB02, HDB02, CPF03, HDB12, HDB02, HDB02",0.0,0.0,0.0,HDB08,HDB08,True,duplicate_crowding
TF-IDF,Q38,partially_answerable,I have enough CPF OA savings for the downpayment. Does that mean I can definitely afford the flat?,"CPF03, CPF05, HDB09",1.0,1,1.0,4,0.19999999999999996,0.4,"HDB09, CPF03, HDB08, CPF04, CPF03","HDB09:001:000, CPF03:000:001, HDB08:007:000, CPF04:000:000, CPF03:000:000","HDB09, CPF03, HDB08, CPF04, CPF03, CPF02, HDB08, CPF07, CPF07, CPF06, CPF05, HDB09, CPF02, HDB12, HDB07, CPF04, CPF01, CPF07, CPF08, HDB08",0.3333333333333333,0.6666666666666666,0.6666666666666666,CPF05,CPF05,False,ranking_miss
TF-IDF,Q39,partially_answerable,I used CPF for my home. Tell me the exact dollar amount I must refund if I sell today.,CPF06,0.5,2,1.0,3,0.4,0.4,"CPF04, CPF06, CPF03, CPF04, CPF06","CPF04:000:001, CPF06:000:000, CPF03:000:001, CPF04:000:000, CPF06:000:002","CPF04, CPF06, CPF03, CPF04, CPF06, HDB08, CPF06, CPF01, HDB08, HDB08, HDB08, CPF08, HDB12, HDB09, HDB07, HDB12, HDB08, CPF05, HDB05, HDB05",0.0,1.0,1.0,,,False,success
TF-IDF,Q40,partially_answerable,I am 55. Tell me exactly how much my CPF LIFE monthly payout will be.,CPF08,0.5,2,1.0,2,0.6,0.8,"CPF07, CPF08, CPF08, CPF08, CPF08","CPF07:000:000, CPF08:000:002, CPF08:002:000, CPF08:005:000, CPF08:000:003","CPF07, CPF08, CPF08, CPF08, CPF08, CPF02, CPF02, CPF07, CPF07, CPF08, CPF08, CPF01, CPF01, CPF04, CPF02, CPF06, CPF04, CPF10, CPF06, CPF05",0.0,1.0,1.0,,,False,success
TF-IDF,Q41,partially_answerable,I qualify for a Singles Grant. Does that automatically mean I qualify for EHG (Singles)?,"HDB03, HDB04",1.0,1,1.0,3,0.4,0.4,"HDB03, HDB04, HDB05, HDB04, HDB05","HDB03:000:000, HDB04:000:000, HDB05:000:000, HDB04:011:000, HDB05:008:000","HDB03, HDB04, HDB05, HDB04, HDB05, HDB04, HDB04, HDB05, HDB04, HDB04, HDB04, HDB03, HDB04, HDB01, HDB04, HDB06, HDB03, HDB02, HDB02, HDB03",0.5,1.0,1.0,,,False,success
TF-IDF,Q42,partially_answerable,I am a second-timer. Does the Step-Up CPF Housing Grant definitely apply to me?,HDB07,1.0,1,1.0,2,0.6,0.6,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:000:000, HDB07:005:000, HDB07:002:003, HDB01:019:002, HDB01:005:002","HDB07, HDB07, HDB07, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB05, HDB02, HDB02, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01",1.0,1.0,1.0,,,False,success
TF-IDF,Q43,partially_answerable,I want to buy a resale flat. Can you calculate my exact cash and CPF upfront payments from these pages alone?,"CPF03, HDB09",1.0,1,1.0,4,0.19999999999999996,0.4,"HDB09, HDB09, HDB11, CPF03, HDB07","HDB09:000:001, HDB09:002:000, HDB11:000:000, CPF03:000:001, HDB07:000:000","HDB09, HDB09, HDB11, CPF03, HDB07, HDB08, HDB01, CPF02, HDB10, HDB06, HDB08, CPF08, HDB08, HDB08, HDB05, HDB08, CPF01, HDB02, HDB04, HDB03",0.5,0.5,1.0,,,False,success
TF-IDF,Q44,partially_answerable,I am a single buyer and my income is within the HDB loan ceiling. Tell me the exact loan amount HDB will give me.,HDB08,0.3333333333333333,3,1.0,3,0.4,0.4,"CPF03, CPF03, HDB08, HDB08, HDB01","CPF03:003:000, CPF03:006:000, HDB08:006:003, HDB08:005:000, HDB01:021:007","CPF03, CPF03, HDB08, HDB08, HDB01, HDB08, HDB01, HDB01, HDB08, HDB08, HDB08, HDB01, HDB04, CPF08, CPF08, HDB01, HDB08, CPF05, HDB12, HDB04",0.0,1.0,1.0,,,False,success
TF-IDF,Q45,partially_answerable,I am eligible to buy a flat. Does that automatically mean I will receive every CPF housing grant listed on HDB's site?,"HDB01, HDB02, HDB03, HDB05, HDB06",0.5,2,0.6,3,0.4,0.6,"HDB07, HDB02, HDB01, HDB01, HDB01","HDB07:005:000, HDB02:007:005, HDB01:013:002, HDB01:019:002, HDB01:005:002","HDB07, HDB02, HDB01, HDB01, HDB01, HDB02, HDB02, HDB01, HDB02, HDB05, HDB01, HDB01, HDB01, HDB01, HDB02, HDB04, HDB01, HDB01, HDB01, HDB01",0.0,0.4,0.4,"HDB03, HDB05, HDB06",HDB05,True,duplicate_crowding
TF-IDF,Q53,adversarial_misleading,"I'm 30 and single, so I can buy any HDB resale flat on my own as long as I can afford it, right?","HDB02, HDB08",0.5,2,1.0,5,0.0,0.2,"CPF04, HDB02, HDB12, HDB01, CPF03","CPF04:000:000, HDB02:006:000, HDB12:007:000, HDB01:020:000, CPF03:000:000","CPF04, HDB02, HDB12, HDB01, CPF03, HDB04, CPF06, CPF02, HDB06, HDB07, HDB03, HDB04, HDB07, HDB04, HDB06, HDB08, HDB06, HDB04, HDB03, HDB03",0.0,0.5,0.5,HDB08,HDB08,False,ranking_miss
TF-IDF,Q54,adversarial_misleading,"Since CPF can be used for housing, I can use my Special Account to pay my property downpayment, correct?",CPF03,0.2,5,1.0,4,0.19999999999999996,0.4,"CPF09, CPF09, HDB09, CPF02, CPF03","CPF09:002:000, CPF09:005:000, HDB09:001:000, CPF02:000:000, CPF03:000:000","CPF09, CPF09, HDB09, CPF02, CPF03, HDB08, CPF04, CPF06, CPF02, CPF10, HDB07, CPF05, CPF06, CPF09, HDB12, CPF03, HDB08, CPF01, HDB05, CPF05",0.0,0.0,1.0,,,False,success
TF-IDF,Q55,adversarial_misleading,"When I sell my property, I only need to refund the original CPF principal and never any accrued interest, right?",CPF06,1.0,1,1.0,3,0.4,0.6,"CPF06, CPF04, CPF03, CPF06, CPF06","CPF06:000:000, CPF04:000:001, CPF03:000:001, CPF06:000:001, CPF06:000:002","CPF06, CPF04, CPF03, CPF06, CPF06, CPF04, HDB08, CPF02, CPF02, HDB02, HDB12, HDB02, HDB02, HDB02, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01",1.0,1.0,1.0,,,False,success
TF-IDF,Q56,adversarial_misleading,"If my resale OTP expires, HDB automatically extends it for another 21 days, right?",HDB12,1.0,1,1.0,2,0.6,0.6,"HDB12, HDB12, HDB01, HDB12, HDB01","HDB12:004:000, HDB12:003:000, HDB01:028:008, HDB12:010:000, HDB01:028:001","HDB12, HDB12, HDB01, HDB12, HDB01, HDB12, HDB12, HDB12, HDB12, HDB01, HDB12, HDB01, HDB12, HDB02, HDB02, CPF08, HDB11, CPF07, HDB01, HDB01",1.0,1.0,1.0,,,False,success
