question_id,baseline_question,baseline_category,baseline_gold_sources,baseline_recall@1,baseline_recall@3,baseline_recall@5,baseline_mrr,baseline_top5_sources,baseline_top5_chunk_ids,baseline_unique_sources@5,mmr_recall@1,mmr_recall@3,mmr_recall@5,mmr_mrr,mmr_top5_sources,mmr_top5_chunk_ids,mmr_unique_sources@5,delta_recall@1,delta_recall@3,delta_recall@5,delta_mrr,delta_unique_sources@5
Q11,What are the main CPF accounts described in the CPF overview?,direct_answerable,CPF01,0.0,0.0,1.0,0.25,"CPF02, CPF07, CPF07, CPF01, CPF07","CPF02:000:000, CPF07:001:000, CPF07:004:000, CPF01:000:000, CPF07:003:000",3,0.0,0.0,1.0,0.2,"CPF02, CPF07, CPF07, CPF08, CPF01","CPF02:000:000, CPF07:001:000, CPF07:003:000, CPF08:001:000, CPF01:000:000",4,0.0,0.0,0.0,-0.04999999999999999,1
Q12,What are some of the main purposes of CPF described in CPF 101?,direct_answerable,CPF02,0.0,0.0,0.0,0.16666666666666666,"CPF07, CPF07, CPF01, CPF07, CPF07","CPF07:003:000, CPF07:006:000, CPF01:000:000, CPF07:001:000, CPF07:004:000",2,0.0,0.0,1.0,0.2,"CPF07, CPF01, CPF07, CPF07, CPF02","CPF07:003:000, CPF01:000:000, CPF07:001:000, CPF07:006:000, CPF02:001:000",3,0.0,0.0,1.0,0.033333333333333354,1
Q13,Which CPF account can generally be used for a home purchase?,direct_answerable,CPF03,0.0,0.0,0.0,0.16666666666666666,"HDB09, CPF04, CPF02, CPF01, CPF02","HDB09:001:000, CPF04:000:000, CPF02:000:001, CPF01:000:000, CPF02:000:000",4,0.0,0.0,0.0,0.14285714285714285,"HDB09, CPF04, CPF02, CPF01, HDB07","HDB09:001:000, CPF04:000:000, CPF02:000:001, CPF01:000:000, HDB07:005:000",5,0.0,0.0,0.0,-0.023809523809523808,1
Q14,What generally has to be refunded to CPF when a property is sold or transferred?,direct_answerable,CPF06,1.0,1.0,1.0,1.0,"CPF06, CPF04, CPF06, HDB08, HDB08","CPF06:000:002, CPF04:000:001, CPF06:000:000, HDB08:004:001, HDB08:004:000",3,1.0,1.0,1.0,1.0,"CPF06, CPF04, CPF06, HDB08, HDB08","CPF06:000:002, CPF04:000:001, CPF06:000:000, HDB08:004:001, HDB08:004:000",3,0.0,0.0,0.0,0.0,0
Q15,What is CPF LIFE intended to provide?,direct_answerable,CPF08,1.0,1.0,1.0,1.0,"CPF08, CPF08, CPF02, CPF02, CPF07","CPF08:000:000, CPF08:000:001, CPF02:002:000, CPF02:005:000, CPF07:003:000",3,1.0,1.0,1.0,1.0,"CPF08, CPF07, CPF02, CPF07, CPF08","CPF08:000:000, CPF07:003:000, CPF02:002:000, CPF07:001:000, CPF08:000:001",3,0.0,0.0,0.0,0.0,0
Q16,"A first-timer single wants to buy a resale flat. What HDB grant routes should they check, and what prerequisite applies before EHG (Singles) for a resale purchase?",multi_hop,"HDB03, HDB04",0.5,1.0,1.0,1.0,"HDB04, HDB05, HDB03, HDB10, HDB06","HDB04:000:000, HDB05:000:000, HDB03:000:000, HDB10:000:002, HDB06:000:000",5,0.5,1.0,1.0,1.0,"HDB04, HDB05, HDB03, HDB10, HDB12","HDB04:000:000, HDB05:000:000, HDB03:000:000, HDB10:000:002, HDB12:002:000",5,0.0,0.0,0.0,0.0,0
Q17,A family buying a resale flat wants both the main resale grant and EHG. How do these grant routes relate?,multi_hop,"HDB05, HDB06",0.5,0.5,1.0,1.0,"HDB05, HDB04, HDB05, HDB10, HDB06","HDB05:000:000, HDB04:000:000, HDB05:002:003, HDB10:000:002, HDB06:005:000",4,0.5,0.5,1.0,1.0,"HDB05, HDB04, HDB10, HDB05, HDB06","HDB05:000:000, HDB04:000:000, HDB10:000:002, HDB05:002:003, HDB06:005:000",4,0.0,0.0,0.0,0.0,0
Q18,A second-timer family wants to move from an eligible smaller flat to another flat. Which grant should they investigate and what housing context matters?,multi_hop,"HDB01, HDB07",0.5,1.0,1.0,1.0,"HDB07, HDB06, HDB01, HDB03, HDB01","HDB07:000:000, HDB06:002:004, HDB01:016:006, HDB03:002:000, HDB01:002:005",4,0.5,1.0,1.0,1.0,"HDB07, HDB03, HDB01, HDB01, HDB06","HDB07:000:000, HDB03:002:000, HDB01:002:005, HDB01:016:006, HDB06:002:004",4,0.0,0.0,0.0,0.0,0
Q19,"How do the HFE letter, housing grants and HDB loan eligibility fit together before a buyer commits to a flat?",multi_hop,"HDB03, HDB08, HDB09",0.0,0.0,0.3333333333333333,0.25,"HDB12, HDB01, HDB02, HDB08, HDB07","HDB12:006:000, HDB01:000:000, HDB02:000:000, HDB08:006:000, HDB07:000:000",5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,"HDB12, HDB01, HDB08, HDB10, HDB07","HDB12:006:000, HDB01:000:000, HDB08:006:000, HDB10:000:000, HDB07:000:000",5,0.0,0.3333333333333333,0.0,0.08333333333333331,0
Q20,A resale buyer has agreed on a price. What should happen from the OTP stage until the resale application is submitted?,multi_hop,"HDB11, HDB12",0.5,0.5,0.5,1.0,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:010:000, HDB12:002:000, HDB12:003:000, HDB12:008:000, HDB12:001:000",1,0.5,0.5,0.5,1.0,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:010:000, HDB12:002:000, HDB12:003:000, HDB12:008:000, HDB12:001:000",1,0.0,0.0,0.0,0.0,0
Q21,How do CPF OA usage for housing and the later CPF refund obligation connect across the lifecycle of owning and selling a property?,multi_hop,"CPF03, CPF06",0.0,1.0,1.0,0.5,"CPF04, CPF06, CPF03, CPF06, CPF06","CPF04:000:001, CPF06:000:001, CPF03:000:001, CPF06:000:000, CPF06:000:002",3,0.0,0.5,1.0,0.5,"CPF04, CPF06, CPF06, CPF03, CPF06","CPF04:000:001, CPF06:000:001, CPF06:000:002, CPF03:000:001, CPF06:000:000",3,0.0,-0.5,0.0,0.0,0
Q22,Why can using more CPF for housing affect retirement resources later?,multi_hop,"CPF01, CPF05, CPF07",0.0,0.6666666666666666,0.6666666666666666,0.5,"CPF03, CPF07, CPF01, CPF04, CPF02","CPF03:000:001, CPF07:000:000, CPF01:000:000, CPF04:000:001, CPF02:000:001",5,0.0,0.6666666666666666,0.6666666666666666,0.5,"CPF03, CPF07, CPF01, CPF04, CPF02","CPF03:000:001, CPF07:000:000, CPF01:000:000, CPF04:000:001, CPF02:000:001",5,0.0,0.0,0.0,0.0,0
Q23,How does CPF LIFE relate to the broader CPF retirement-income framework?,multi_hop,"CPF07, CPF08",0.5,0.5,1.0,1.0,"CPF08, CPF08, CPF01, CPF07, CPF02","CPF08:000:000, CPF08:000:001, CPF01:000:000, CPF07:000:000, CPF02:002:000",4,0.5,0.5,1.0,1.0,"CPF08, CPF08, CPF01, CPF07, CPF02","CPF08:000:000, CPF08:000:001, CPF01:000:000, CPF07:000:000, CPF02:002:000",4,0.0,0.0,0.0,0.0,0
Q24,How do base CPF interest rates and extra interest work together for an older member?,multi_hop,"CPF09, CPF10",0.5,1.0,1.0,1.0,"CPF10, CPF02, CPF09, CPF02, CPF01","CPF10:000:000, CPF02:000:001, CPF09:000:000, CPF02:000:000, CPF01:000:001",4,0.5,1.0,1.0,1.0,"CPF10, CPF02, CPF09, CPF02, CPF01","CPF10:000:000, CPF02:000:001, CPF09:000:000, CPF02:000:000, CPF01:000:001",4,0.0,0.0,0.0,0.0,0
Q25,How do HDB's budgeting guidance and CPF's housing-usage guidance complement each other when planning a flat purchase?,multi_hop,"CPF03, CPF05, HDB09",0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,"HDB09, HDB02, HDB01, HDB07, HDB01","HDB09:000:000, HDB02:000:000, HDB01:000:000, HDB07:000:000, HDB01:031:002",4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,"HDB09, HDB01, HDB01, HDB07, HDB09","HDB09:000:000, HDB01:031:002, HDB01:000:000, HDB07:000:000, HDB09:000:001",3,0.0,0.0,0.0,0.0,-1
Q26,"If a first-timer single is buying a resale flat, under what condition should EHG (Singles) be considered after the Singles Grant?",conditional,"HDB03, HDB04",0.5,1.0,1.0,1.0,"HDB04, HDB05, HDB03, HDB03, HDB04","HDB04:000:000, HDB05:000:000, HDB03:000:000, HDB03:002:000, HDB04:002:000",3,0.5,1.0,1.0,1.0,"HDB04, HDB05, HDB03, HDB03, HDB04","HDB04:000:000, HDB05:000:000, HDB03:000:000, HDB03:002:000, HDB04:002:000",3,0.0,0.0,0.0,0.0,0
Q27,"If a family is buying a resale flat, what must be established before EHG for Families is considered?",conditional,"HDB05, HDB06",0.5,0.5,0.5,1.0,"HDB05, HDB04, HDB04, HDB05, HDB04","HDB05:000:000, HDB04:002:000, HDB04:000:000, HDB05:002:000, HDB04:002:004",2,0.5,0.5,0.5,1.0,"HDB05, HDB04, HDB04, HDB05, HDB01","HDB05:000:000, HDB04:002:000, HDB04:000:000, HDB05:002:000, HDB01:013:002",3,0.0,0.0,0.0,0.0,1
Q28,"If applicants are second-timers, when should the Step-Up CPF Housing Grant be investigated?",conditional,HDB07,1.0,1.0,1.0,1.0,"HDB07, HDB07, HDB02, HDB02, HDB01","HDB07:000:000, HDB07:005:000, HDB02:002:006, HDB02:007:006, HDB01:016:006",3,1.0,1.0,1.0,1.0,"HDB07, HDB07, HDB02, HDB02, HDB01","HDB07:000:000, HDB07:005:000, HDB02:002:006, HDB02:007:005, HDB01:016:006",3,0.0,0.0,0.0,0.0,0
Q29,"If a single applicant wants an HDB loan, what household income ceiling applies according to the current HDB loan page?",conditional,HDB08,1.0,1.0,1.0,1.0,"HDB08, HDB01, HDB02, HDB01, HDB01","HDB08:000:000, HDB01:009:000, HDB02:000:000, HDB01:020:000, HDB01:000:000",3,1.0,1.0,1.0,1.0,"HDB08, HDB06, HDB01, HDB01, HDB01","HDB08:000:000, HDB06:002:000, HDB01:020:000, HDB01:000:000, HDB01:009:000",3,0.0,0.0,0.0,0.0,0
Q30,"If a buyer is purchasing a 2-room Flexi flat on a short lease, can an HDB housing loan be assumed to be available?",conditional,HDB08,1.0,1.0,1.0,1.0,"HDB08, HDB01, HDB01, HDB02, HDB08","HDB08:000:000, HDB01:000:000, HDB01:025:000, HDB02:000:000, HDB08:006:000",3,1.0,1.0,1.0,1.0,"HDB08, HDB01, HDB01, HDB08, HDB02","HDB08:000:000, HDB01:025:000, HDB01:000:000, HDB08:006:004, HDB02:000:000",3,0.0,0.0,0.0,0.0,0
Q31,"If a buyer has been granted an OTP but changes their mind, what happens if they simply do not exercise it?",conditional,HDB12,1.0,1.0,1.0,1.0,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:009:000, HDB12:008:000, HDB12:010:000, HDB12:005:000, HDB12:004:000",1,1.0,1.0,1.0,1.0,"HDB12, HDB12, HDB12, HDB12, HDB12","HDB12:009:000, HDB12:008:000, HDB12:010:000, HDB12:005:000, HDB12:004:000",1,0.0,0.0,0.0,0.0,0
Q32,"If a member uses CPF OA savings for a property, what should they expect to happen to those amounts when the property is later sold?",conditional,"CPF03, CPF06",0.0,0.5,1.0,0.5,"CPF04, CPF03, CPF05, CPF02, CPF06","CPF04:000:001, CPF03:000:001, CPF05:000:001, CPF02:000:001, CPF06:000:001",5,0.0,0.5,1.0,0.5,"CPF04, CPF03, CPF05, CPF02, CPF06","CPF04:000:001, CPF03:000:001, CPF05:000:001, CPF02:000:001, CPF06:000:002",5,0.0,0.0,0.0,0.0,0
Q33,"If sale proceeds are insufficient to cover principal plus accrued interest, should the system automatically tell the member to top up the shortfall in cash?",conditional,CPF06,1.0,1.0,1.0,1.0,"CPF06, HDB08, CPF01, CPF06, HDB01","CPF06:000:002, HDB08:005:000, CPF01:000:002, CPF06:000:000, HDB01:019:002",4,1.0,1.0,1.0,1.0,"CPF06, HDB08, CPF01, CPF06, HDB01","CPF06:000:002, HDB08:005:000, CPF01:000:002, CPF06:000:000, HDB01:019:002",4,0.0,0.0,0.0,0.0,0
Q34,"If a member defers CPF LIFE payouts, what effect can that have on monthly payouts?",conditional,CPF08,1.0,1.0,1.0,1.0,"CPF08, CPF08, CPF07, CPF08, CPF02","CPF08:000:001, CPF08:000:003, CPF07:000:000, CPF08:000:002, CPF02:000:004",3,1.0,1.0,1.0,1.0,"CPF08, CPF08, CPF07, CPF08, CPF02","CPF08:000:001, CPF08:000:003, CPF07:000:000, CPF08:000:002, CPF02:000:004",3,0.0,0.0,0.0,0.0,0
Q35,"If a user asks for the CPF OA interest rate for a period outside the effective dates in the current source, should the system reuse the current rate?",conditional,CPF10,0.0,1.0,1.0,0.5,"CPF09, CPF10, CPF05, CPF02, CPF02","CPF09:000:000, CPF10:000:000, CPF05:000:001, CPF02:000:004, CPF02:000:001",4,0.0,0.0,1.0,0.25,"CPF09, CPF05, CPF02, CPF10, CPF02","CPF09:000:000, CPF05:000:001, CPF02:000:004, CPF10:000:000, CPF02:000:001",4,0.0,-1.0,0.0,-0.25,0
Q36,I am 35 and single. Exactly how much housing grant will I receive for the flat I am considering?,partially_answerable,"HDB02, HDB03, HDB04",0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,"HDB03, HDB04, HDB03, HDB06, HDB03","HDB03:002:004, HDB04:000:000, HDB03:000:000, HDB06:000:000, HDB03:002:003",3,0.3333333333333333,0.6666666666666666,1.0,1.0,"HDB03, HDB04, HDB03, HDB03, HDB02","HDB03:002:004, HDB04:000:000, HDB03:002:003, HDB03:000:000, HDB02:010:002",3,0.0,0.0,0.33333333333333337,0.0,0
Q37,I earn below the HDB loan income ceiling. Does that guarantee that HDB will approve my loan?,partially_answerable,HDB08,1.0,1.0,1.0,1.0,"HDB08, HDB08, HDB12, HDB09, HDB09","HDB08:006:000, HDB08:000:000, HDB12:006:000, HDB09:000:000, HDB09:000:001",3,1.0,1.0,1.0,1.0,"HDB08, HDB08, HDB12, HDB08, HDB09","HDB08:006:000, HDB08:000:000, HDB12:006:000, HDB08:008:000, HDB09:000:001",3,0.0,0.0,0.0,0.0,0
Q38,I have enough CPF OA savings for the downpayment. Does that mean I can definitely afford the flat?,partially_answerable,"CPF03, CPF05, HDB09",0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,"HDB09, CPF03, HDB01, HDB02, CPF04","HDB09:001:000, CPF03:000:000, HDB01:031:002, HDB02:010:002, CPF04:000:000",5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,"HDB09, HDB01, CPF03, CPF02, CPF06","HDB09:001:000, HDB01:031:002, CPF03:000:000, CPF02:000:001, CPF06:000:001",5,0.0,0.0,0.0,0.0,0
Q39,I used CPF for my home. Tell me the exact dollar amount I must refund if I sell today.,partially_answerable,CPF06,1.0,1.0,1.0,1.0,"CPF06, CPF06, HDB08, CPF04, CPF06","CPF06:000:000, CPF06:000:002, HDB08:004:001, CPF04:000:001, CPF06:000:001",3,1.0,1.0,1.0,1.0,"CPF06, CPF06, HDB08, CPF04, HDB09","CPF06:000:000, CPF06:000:002, HDB08:004:001, CPF04:000:001, HDB09:001:000",4,0.0,0.0,0.0,0.0,1
Q40,I am 55. Tell me exactly how much my CPF LIFE monthly payout will be.,partially_answerable,CPF08,0.0,1.0,1.0,0.5,"CPF07, CPF08, CPF08, CPF08, CPF08","CPF07:000:000, CPF08:000:001, CPF08:000:002, CPF08:000:003, CPF08:000:000",2,0.0,1.0,1.0,0.5,"CPF07, CPF08, CPF08, CPF08, CPF08","CPF07:000:000, CPF08:000:001, CPF08:000:002, CPF08:000:003, CPF08:000:000",2,0.0,0.0,0.0,0.0,0
Q41,I qualify for a Singles Grant. Does that automatically mean I qualify for EHG (Singles)?,partially_answerable,"HDB03, HDB04",0.5,0.5,1.0,1.0,"HDB04, HDB05, HDB04, HDB05, HDB03","HDB04:000:000, HDB05:000:000, HDB04:002:003, HDB05:002:003, HDB03:002:000",3,0.5,0.5,1.0,1.0,"HDB04, HDB04, HDB05, HDB03, HDB05","HDB04:000:000, HDB04:002:003, HDB05:000:000, HDB03:002:000, HDB05:002:003",3,0.0,0.0,0.0,0.0,0
Q42,I am a second-timer. Does the Step-Up CPF Housing Grant definitely apply to me?,partially_answerable,HDB07,1.0,1.0,1.0,1.0,"HDB07, HDB07, HDB02, HDB06, HDB02","HDB07:000:000, HDB07:005:000, HDB02:002:006, HDB06:000:000, HDB02:007:006",3,1.0,1.0,1.0,1.0,"HDB07, HDB07, HDB02, HDB06, HDB05","HDB07:000:000, HDB07:005:000, HDB02:002:006, HDB06:000:000, HDB05:000:000",4,0.0,0.0,0.0,0.0,1
Q43,I want to buy a resale flat. Can you calculate my exact cash and CPF upfront payments from these pages alone?,partially_answerable,"CPF03, HDB09",0.5,0.5,0.5,1.0,"HDB09, HDB09, HDB01, HDB09, HDB09","HDB09:000:001, HDB09:002:000, HDB01:031:002, HDB09:001:000, HDB09:000:000",2,0.5,0.5,0.5,1.0,"HDB09, HDB09, HDB09, HDB01, HDB09","HDB09:000:001, HDB09:001:000, HDB09:002:000, HDB01:031:002, HDB09:000:000",2,0.0,0.0,0.0,0.0,0
Q44,I am a single buyer and my income is within the HDB loan ceiling. Tell me the exact loan amount HDB will give me.,partially_answerable,HDB08,1.0,1.0,1.0,1.0,"HDB08, HDB09, HDB08, HDB08, HDB08","HDB08:005:000, HDB09:000:000, HDB08:000:000, HDB08:006:000, HDB08:006:003",2,1.0,1.0,1.0,1.0,"HDB08, HDB09, HDB08, HDB08, HDB08","HDB08:005:000, HDB09:000:000, HDB08:000:000, HDB08:006:003, HDB08:006:000",2,0.0,0.0,0.0,0.0,0
Q45,I am eligible to buy a flat. Does that automatically mean I will receive every CPF housing grant listed on HDB's site?,partially_answerable,"HDB01, HDB02, HDB03, HDB05, HDB06",0.2,0.6,0.8,1.0,"HDB01, HDB02, HDB06, HDB07, HDB05","HDB01:000:000, HDB02:000:000, HDB06:000:000, HDB07:000:000, HDB05:000:000",5,0.2,0.6,0.6,1.0,"HDB01, HDB06, HDB02, HDB07, HDB01","HDB01:000:000, HDB06:000:000, HDB02:000:000, HDB07:000:000, HDB01:028:006",4,0.0,0.0,-0.20000000000000007,0.0,-1
Q53,"I'm 30 and single, so I can buy any HDB resale flat on my own as long as I can afford it, right?",adversarial_misleading,"HDB02, HDB08",0.0,0.0,0.0,0.16666666666666666,"HDB03, HDB01, HDB01, HDB01, HDB01","HDB03:000:000, HDB01:005:002, HDB01:019:002, HDB01:024:002, HDB01:013:002",2,0.0,0.5,0.5,0.3333333333333333,"HDB03, HDB01, HDB02, HDB01, HDB04","HDB03:000:000, HDB01:005:002, HDB02:000:000, HDB01:026:000, HDB04:002:000",4,0.0,0.5,0.5,0.16666666666666666,2
Q54,"Since CPF can be used for housing, I can use my Special Account to pay my property downpayment, correct?",adversarial_misleading,CPF03,0.0,1.0,1.0,0.5,"HDB09, CPF03, CPF03, CPF06, HDB07","HDB09:001:000, CPF03:000:000, CPF03:000:001, CPF06:000:001, HDB07:005:000",4,0.0,1.0,1.0,0.5,"HDB09, CPF03, HDB07, CPF03, CPF06","HDB09:001:000, CPF03:000:000, HDB07:005:000, CPF03:000:001, CPF06:000:000",4,0.0,0.0,0.0,0.0,0
Q55,"When I sell my property, I only need to refund the original CPF principal and never any accrued interest, right?",adversarial_misleading,CPF06,1.0,1.0,1.0,1.0,"CPF06, CPF06, CPF04, CPF06, HDB08","CPF06:000:000, CPF06:000:002, CPF04:000:001, CPF06:000:001, HDB08:004:001",3,1.0,1.0,1.0,1.0,"CPF06, CPF06, CPF04, HDB07, HDB08","CPF06:000:000, CPF06:000:002, CPF04:000:001, HDB07:005:000, HDB08:004:001",4,0.0,0.0,0.0,0.0,1
Q56,"If my resale OTP expires, HDB automatically extends it for another 21 days, right?",adversarial_misleading,HDB12,1.0,1.0,1.0,1.0,"HDB12, HDB12, HDB12, HDB08, HDB12","HDB12:003:000, HDB12:010:000, HDB12:002:000, HDB08:003:001, HDB12:000:000",2,1.0,1.0,1.0,1.0,"HDB12, HDB12, HDB12, HDB08, HDB12","HDB12:003:000, HDB12:010:000, HDB12:002:000, HDB08:003:001, HDB12:000:000",2,0.0,0.0,0.0,0.0,0
Q57,What CPF OA interest rate applies from 1 July 2026 to 30 September 2026?,temporal,CPF10,1.0,1.0,1.0,1.0,"CPF10, CPF09, CPF02, CPF02, CPF02","CPF10:000:000, CPF09:000:000, CPF02:000:005, CPF02:000:001, CPF02:000:004",3,1.0,1.0,1.0,1.0,"CPF10, CPF09, CPF02, CPF02, HDB01","CPF10:000:000, CPF09:000:000, CPF02:000:005, CPF02:000:001, HDB01:028:004",4,0.0,0.0,0.0,0.0,1
Q59,For what period is the CPF Ordinary Account interest rate stated on the current source applicable?,temporal,CPF10,1.0,1.0,1.0,1.0,"CPF10, CPF09, CPF02, CPF01, CPF02","CPF10:000:000, CPF09:000:000, CPF02:000:000, CPF01:000:000, CPF02:000:004",4,1.0,1.0,1.0,1.0,"CPF10, CPF09, CPF02, CPF09, HDB09","CPF10:000:000, CPF09:000:000, CPF02:000:000, CPF09:002:000, HDB09:001:000",4,0.0,0.0,0.0,0.0,0
